CHECKSTYLE RULE MAPPING TABLE
================================================================================

This table maps the 47 Google Java Style Guide coding rules to their corresponding
Checkstyle checks, configuration options, and coverage classifications.

================================================================================

NO. | CODING RULE                          | CHECKSTYLE RULE            | COVERAGE           | CONFIGURATION
----|--------------------------------------|----------------------------|--------------------|-----------------------------------------
  1 | have-name-matching                   | OuterTypeFilename          | Exact Match        | No options
    | TopLevelClassName                    |                            |                    |
----|--------------------------------------|----------------------------|--------------------|-----------------------------------------
  2 | use-encoding UTF-8                   | Checker.charset            | Exact Match        | charset="UTF-8"
----|--------------------------------------|----------------------------|--------------------|-----------------------------------------
  3 | contain-only ASCII horizontal space  | FileTabCharacter           | Exact Match        | eachLine="true"
----|--------------------------------------|----------------------------|--------------------|-----------------------------------------
  4 | not-use tab character for indent     | FileTabCharacter           | Exact Match        | (same as Rule 3)
----|--------------------------------------|----------------------------|--------------------|-----------------------------------------
  5 | prefer-escape-sequences              | AvoidEscapedUnicodeChars   | Exact Match        | allowEscapesForControl=true
    | \n, \t over octal/Unicode            |                            |                    | allowByTailComment=false
    |                                      |                            |                    | allowIfAllCharsEscaped=false
    |                                      |                            |                    | allowNonPrintable=false
----|--------------------------------------|----------------------------|--------------------|-----------------------------------------
  6 | follow-order                         | EmptyLineSeparator,        | Over-Approximation | Multiple tokens
    | License → Package → Imports → Class  | NoLineWrap, ImportOrder    |                    |
----|--------------------------------------|----------------------------|--------------------|-----------------------------------------
  7 | have-blank-line (exactly-one)        | EmptyLineSeparator         | Exact Match        | allowMultiple=false
    | License/Copyright to Package         |                            |                    | tokens=PACKAGE_DEF
----|--------------------------------------|----------------------------|--------------------|-----------------------------------------
  8 | have-blank-line (exactly-one)        | EmptyLineSeparator         | Exact Match        | allowMultiple=false
    | Package to Imports                   |                            |                    | tokens=IMPORT,STATIC_IMPORT
----|--------------------------------------|----------------------------|--------------------|-----------------------------------------
  9 | have-blank-line (exactly-one)        | EmptyLineSeparator         | Exact Match        | allowMultiple=false
    | Imports to Class                     |                            |                    | tokens=CLASS_DEF,etc
----|--------------------------------------|----------------------------|--------------------|-----------------------------------------
 10 | not-line-wrap package declaration    | NoLineWrap                 | Exact Match        | tokens="PACKAGE_DEF"
----|--------------------------------------|----------------------------|--------------------|-----------------------------------------
 11 | exempt package declaration           | LineLength.ignorePattern   | Exact Match        | ignorePattern="^package.*"
    | from 100-character limit             |                            |                    |
----|--------------------------------------|----------------------------|--------------------|-----------------------------------------
 12 | not-use wildcard imports             | AvoidStarImport            | Exact Match        | allowClassImports=false
    |                                      |                            |                    | allowStaticMember=false
----|--------------------------------------|----------------------------|--------------------|-----------------------------------------
 13 | not-line-wrap import statement       | NoLineWrap                 | Exact Match        | tokens="IMPORT,STATIC_IMPORT"
----|--------------------------------------|----------------------------|--------------------|-----------------------------------------
 14 | exempt import statement              | LineLength.ignorePattern   | Exact Match        | ignorePattern="^import.*"
    | from 100-character limit             |                            |                    |
----|--------------------------------------|----------------------------|--------------------|-----------------------------------------
 15 | organize imports                     | ImportOrder                | Exact Match        | option="top"
    | static separate from non-static      |                            |                    | separated="true"
    |                                      |                            |                    | separatedStaticGroups=true
----|--------------------------------------|----------------------------|--------------------|-----------------------------------------
 16 | order imports in ASCII sort order    | ImportOrder                | Exact Match        | caseSensitive="true"
    | within each group                    |                            |                    | ordered="true"
    |                                      |                            |                    | sortStaticAlpha=true
----|--------------------------------------|----------------------------|--------------------|-----------------------------------------
 17 | have-blank-line (exactly-one)        | ImportOrder                | Exact Match        | separated="true"
    | between static/non-static groups     |                            |                    | separatedStaticGroups=true
----|--------------------------------------|----------------------------|--------------------|-----------------------------------------
 18 | reside-in each class                 | OneTopLevelClass           | Exact Match        | No options
    | within own source file               |                            |                    |
----|--------------------------------------|----------------------------|--------------------|-----------------------------------------
 19 | follow logical order                 | DeclarationOrder           | Exact Match        | ignoreConstructors=false
    | maintainer-explainable               |                            |                    | ignoreModifiers=false
----|--------------------------------------|----------------------------|--------------------|-----------------------------------------
 20 | appear-consecutively                 | OverloadMethodsDeclaration | Exact Match        | No options
    | overloaded methods                   | Order                      |                    |
----|--------------------------------------|----------------------------|--------------------|-----------------------------------------
 21 | have-single-top-level-public class   | OneTopLevelClass           | Exact Match        | (same as Rule 18)
    | per source file                      |                            |                    |
----|--------------------------------------|----------------------------|--------------------|-----------------------------------------
 22 | place opening brace on same line     | LeftCurly                  | Exact Match        | option="eol"
    | K&R style                            |                            |                    | ignoreEnums="true"
----|--------------------------------------|----------------------------|--------------------|-----------------------------------------
 23 | place closing brace on separate line | RightCurly                 | Exact Match        | option="alone"
----|--------------------------------------|----------------------------|--------------------|-----------------------------------------
 24 | compress empty blocks to {}          | EmptyBlock                 | Under-Approximation| option="text"
    | notation (Optional)                  |                            |                    | tokens=control structures
----|--------------------------------------|----------------------------|--------------------|-----------------------------------------
 25 | not-compress empty blocks            | NeedBraces                 | Exact Match        | allowSingleLine=false
    | in if/else chains                    |                            |                    | allowEmptyLoop=false
----|--------------------------------------|----------------------------|--------------------|-----------------------------------------
 26 | allow-omission braces                | NeedBraces                 | Mismatches         | Conflicts with Rule 25
    | single-statement blocks              |                            |                    | allowSingleLine=false
----|--------------------------------------|----------------------------|--------------------|-----------------------------------------
 27 | increment-by 2 spaces                | Indentation                | Exact Match        | basicOffset="2"
    | per nested block                     |                            |                    |
----|--------------------------------------|----------------------------|--------------------|-----------------------------------------
 28 | apply-uniformly 2-space increment    | Indentation                | Exact Match        | All indentation properties
    | to code, comments, all blocks        |                            |                    | set to 2-space multiples
----|--------------------------------------|----------------------------|--------------------|-----------------------------------------
 29 | limit line length to 100 characters  | LineLength                 | Exact Match        | max="100"
----|--------------------------------------|----------------------------|--------------------|-----------------------------------------
